fp,fn,acc_b,acc,f0,f1,f2,kappa,mcc
1.59,39.23,79.59,97.57,48.88,52.75,57.29,51.52,52.0
1.35,39.43,79.61,97.8,52.32,55.13,58.27,54.01,54.24
0.92,45.19,76.95,98.09,57.07,56.2,55.36,55.22,55.24
0.63,51.22,74.08,98.24,60.24,55.36,51.22,54.48,55.01
0.44,56.1,71.73,98.31,62.16,53.78,47.38,52.96,54.41
0.24,64.09,67.84,98.34,63.04,49.12,40.24,48.39,52.16
0.15,69.58,65.13,98.3,61.27,44.39,34.8,43.71,49.37
