fp,fn,acc_b,acc,f0,f1,f2,kappa,mcc
24.28,16.12,79.8,75.9,8.95,13.46,27.12,9.75,20.18
19.39,9.35,85.63,80.84,11.76,17.45,33.85,13.98,25.87
8.06,6.3,92.82,91.98,24.85,34.3,55.35,31.81,42.24
3.37,22.56,87.04,96.2,38.75,47.68,61.97,46.01,50.12
1.66,36.65,80.84,97.55,49.15,53.66,59.08,52.43,53.09
0.57,54.27,72.58,98.23,59.88,53.66,48.6,52.78,53.63
0.25,64.23,67.76,98.32,62.32,48.75,40.04,48.01,51.64
