alpha,beta,gamma,fp,fn,acc_b,acc,f0.5,f1,f2,kappa,mcc,mean C
0.5,0.5,0.5,20.14,15.24,82.31,79.97,10.69,15.9,31.02,12.35,23.21,1.45
0.5,0.5,1.0,10.49,10.23,89.64,89.51,19.55,27.67,47.3,24.83,35.72,1.9
0.5,0.5,1.5,5.12,14.5,90.19,94.67,31.96,41.77,60.26,39.73,46.83,2.36
0.5,1.0,0.5,2.05,36.11,80.92,97.19,44.7,50.37,57.7,48.99,50.19,3.51
0.5,1.0,1.0,0.38,62.2,68.71,98.24,59.56,48.99,41.6,48.17,50.51,6.02
0.5,1.0,1.5,0.12,72.7,63.59,98.25,59.13,41.14,31.55,40.49,47.15,8.53
0.5,1.5,0.5,0.05,79.0,60.47,98.18,54.27,34.05,24.8,33.48,42.96,15.75
0.5,1.5,1.0,0.01,84.96,57.52,98.1,46.64,26.09,18.11,25.65,38.06,30.5
0.5,1.5,1.5,0.0,86.99,56.5,98.05,42.7,23.01,15.75,22.61,35.62,45.25
1.0,0.5,0.5,24.69,16.12,79.59,75.5,8.82,13.27,26.82,9.55,19.94,1.08
1.0,0.5,1.0,24.64,16.12,79.62,75.55,8.83,13.29,26.85,9.57,19.97,1.16
1.0,0.5,1.5,24.11,16.06,79.92,76.07,9.02,13.56,27.28,9.85,20.31,1.24
1.0,1.0,0.5,19.75,16.12,82.06,80.33,10.78,16.01,31.12,12.47,23.2,1.45
1.0,1.0,1.0,12.86,13.89,86.63,87.12,15.98,23.01,41.06,19.91,30.76,1.89
1.0,1.0,1.5,7.77,11.59,90.32,92.15,24.38,33.47,53.37,30.97,40.52,2.34
1.0,1.5,0.5,3.81,22.97,86.61,95.77,35.85,44.84,59.85,43.04,47.71,3.65
1.0,1.5,1.0,0.82,53.73,72.73,98.0,54.03,50.84,48.0,49.83,50.08,6.31
1.0,1.5,1.5,0.27,65.31,67.21,98.28,60.66,47.36,38.85,46.61,50.18,8.96
1.5,0.5,0.5,24.33,16.12,79.77,75.86,8.94,13.44,27.09,9.73,20.15,1.01
1.5,0.5,1.0,24.41,16.12,79.73,75.77,8.91,13.4,27.02,9.69,20.1,1.03
1.5,0.5,1.5,24.49,16.12,79.69,75.7,8.88,13.36,26.96,9.65,20.06,1.04
1.5,1.0,0.5,24.4,16.12,79.74,75.79,8.91,13.41,27.03,9.69,20.11,1.08
1.5,1.0,1.0,23.86,16.12,80.01,76.31,9.09,13.66,27.45,9.97,20.43,1.16
1.5,1.0,1.5,22.8,16.12,80.54,77.35,9.48,14.2,28.31,10.54,21.09,1.24
1.5,1.5,0.5,19.04,16.12,82.42,81.02,11.13,16.49,31.84,12.99,23.74,1.48
1.5,1.5,1.0,14.51,15.65,84.92,85.47,14.17,20.6,37.69,17.35,28.11,1.96
1.5,1.5,1.5,10.54,13.55,87.95,89.39,18.87,26.69,45.61,23.81,34.23,2.44
