alpha,beta,gamma,fp,fn,acc_b,acc,f0.5,f1,f2,kappa,mcc,mean C
0.5,0.5,0.5,1.39,38.82,79.9,97.78,52.09,55.16,58.62,54.03,54.31,1.45
0.5,0.5,1.0,1.03,43.16,77.91,98.03,55.99,56.31,56.63,55.3,55.3,1.9
0.5,0.5,1.5,0.76,48.51,75.36,98.17,58.61,55.72,53.1,54.79,54.98,2.36
0.5,1.0,0.5,0.46,57.05,71.25,98.28,61.06,52.72,46.39,51.89,53.34,3.51
0.5,1.0,1.0,0.16,68.22,65.81,98.32,62.3,45.8,36.21,45.12,50.43,6.02
0.5,1.0,1.5,0.09,75.47,62.22,98.23,57.5,38.23,28.63,37.61,45.55,8.53
0.5,1.5,0.5,0.04,80.08,59.94,98.18,53.57,32.79,23.63,32.26,42.52,15.75
0.5,1.5,1.0,0.0,84.89,57.55,98.1,46.93,26.22,18.19,25.78,38.32,30.5
0.5,1.5,1.5,0.0,86.45,56.77,98.07,43.86,23.85,16.38,23.44,36.36,45.25
1.0,0.5,0.5,1.57,38.96,79.73,97.59,49.27,53.11,57.6,51.89,52.36,1.08
1.0,0.5,1.0,1.54,39.09,79.69,97.62,49.7,53.38,57.66,52.18,52.61,1.16
1.0,0.5,1.5,1.51,38.55,79.97,97.66,50.37,54.02,58.25,52.84,53.25,1.24
1.0,1.0,0.5,1.36,39.57,79.53,97.78,52.05,54.91,58.1,53.78,54.02,1.45
1.0,1.0,1.0,1.08,42.01,78.46,98.0,55.64,56.5,57.39,55.48,55.5,1.89
1.0,1.0,1.5,0.83,46.07,76.55,98.16,58.43,56.65,54.99,55.72,55.79,2.34
1.0,1.5,0.5,0.58,54.0,72.71,98.22,59.56,53.63,48.78,52.75,53.52,3.65
1.0,1.5,1.0,0.26,64.57,67.59,98.31,61.79,48.31,39.66,47.57,51.17,6.31
1.0,1.5,1.5,0.15,70.33,64.76,98.29,60.77,43.63,34.03,42.95,48.83,8.96
1.5,0.5,0.5,1.58,39.23,79.59,97.57,48.98,52.83,57.32,51.6,52.07,1.01
1.5,0.5,1.0,1.59,39.36,79.52,97.57,48.85,52.69,57.19,51.47,51.94,1.03
1.5,0.5,1.5,1.58,39.36,79.53,97.58,48.98,52.79,57.23,51.56,52.03,1.04
1.5,1.0,0.5,1.57,39.23,79.6,97.59,49.13,52.94,57.37,51.72,52.18,1.08
1.5,1.0,1.0,1.54,39.02,79.72,97.62,49.71,53.41,57.71,52.21,52.64,1.16
1.5,1.0,1.5,1.49,39.23,79.64,97.66,50.28,53.76,57.76,52.58,52.95,1.24
1.5,1.5,0.5,1.33,40.11,79.28,97.81,52.39,54.98,57.82,53.86,54.05,1.48
1.5,1.5,1.0,1.1,41.67,78.62,98.0,55.51,56.53,57.6,55.51,55.54,1.96
1.5,1.5,1.5,0.9,44.72,77.19,98.12,57.66,56.75,55.86,55.78,55.8,2.44
