,FP rate,FN rate,Accuracy,F1-score,MCC,Mean C,Median C,Sum metrics
0,0.004645904635064191,0.4159891598915989,0.986161788974852,0.6535253980288097,0.651386803741838,1.8414241075515747,1.667191743850708,2.2910739907454998
1,0.0037012373592678056,0.4424119241192412,0.9864948750170328,0.6485421591804571,0.6508998976932922,2.0517802238464355,1.8339897394180298,2.285936931890782
2,0.0027875427810385147,0.489159891598916,0.9863434722705869,0.6257261410788382,0.6360091283528678,2.262136459350586,2.0007877349853516,2.248078741702293
3,0.0018583618540256763,0.5277777777777778,0.9863888930945207,0.607937200174444,0.6290153320478848,2.7407519817352295,2.291454315185547,2.2233414253168498
4,0.0013473123441686153,0.5684281842818428,0.985980105679117,0.5790909090909091,0.610737813972343,3.1759402751922607,2.6143178939819336,2.175808828742369
5,0.0010840444148483112,0.6253387533875339,0.98496570727793,0.5269175797999047,0.5712547416286574,3.611128330230713,2.9371817111968994,2.0831380287064922
6,0.0007743174391773651,0.6829268292682927,0.9839815894260322,0.469408224674022,0.5300026005316526,4.62687873840332,3.4963979721069336,1.9833924146317066
7,0.0004955631610735137,0.7357723577235772,0.9830731729473573,0.410958904109589,0.48925369891462905,5.533598899841309,4.120497703552246,1.8832857759715753
8,0.00024778158053675683,0.7696476964769647,0.9825584036094415,0.3711790393013101,0.46452518761433226,6.440318584442139,4.744597434997559,1.818262630525084
9,0.006581698233007604,0.3705962059620596,0.9852836530454663,0.6565371024734982,0.6496627729039248,1.423252820968628,1.3286261558532715,2.291483528422889
10,0.006055162374366995,0.3794037940379404,0.9856015988130025,0.6582824290334172,0.6522118792804892,1.5290659666061401,1.4107826948165894,2.296095907126909
11,0.005668003654778313,0.3902439024390244,0.9857378612848037,0.6564551422319475,0.651210742563311,1.6348791122436523,1.4929392337799072,2.2934037460800623
12,0.004676877332631286,0.4186991869918699,0.9860709473269845,0.6509863429438543,0.6488537087804847,1.8772549629211426,1.6375892162322998,2.2859109990513238
13,0.0036547783129171636,0.45121951219512196,0.9863434722705869,0.6423473433782713,0.6454056797884483,2.0965688228607178,1.7969863414764404,2.2740964954373064
14,0.0030817834079259134,0.4803523035230352,0.9862526306227195,0.6281736281736282,0.6360218861425257,2.315882444381714,1.9563837051391602,2.250448144938874
15,0.0019512799467269603,0.5311653116531165,0.9862223500734303,0.6033129904097646,0.6239839677405747,2.8311045169830322,2.2345757484436035,2.21351930822377
16,0.001331825995385068,0.5907859078590786,0.9854956168904904,0.5577100646352724,0.5929611492666741,3.2888808250427246,2.543219804763794,2.136166830792437
17,0.001223421553900237,0.6158536585365854,0.985041408651153,0.5344015080113101,0.5751285522914601,3.746657133102417,2.8518638610839844,2.094571468953923
18,0.007371502020968516,0.3529810298102981,0.9849051461793517,0.6570347437220502,0.6494007307350929,1.2130192518234253,1.1623327732086182,2.2913406206364946
19,0.0070617750452975706,0.3502710027100271,0.9852685127708216,0.6634382566585957,0.6560637983863006,1.266274094581604,1.2029160261154175,2.304770567815718
20,0.006783020767193719,0.35636856368563685,0.9854047752426229,0.6634078212290504,0.6562794293759924,1.3195288181304932,1.2434991598129272,2.3050920258476655
21,0.00648878014030632,0.36517615176151763,0.9854956168904904,0.6617231638418078,0.6549399302064587,1.4423350095748901,1.3138188123703003,2.302158710938757
22,0.005606058259644124,0.3895663956639566,0.9858135626580267,0.6579043446513325,0.6527666593588917,1.552918791770935,1.3922734260559082,2.296484566668251
